23.51	9.18	0.07
23.32	9.48	-0.05
23.18	9.83	-0.19
23.07	10.18	-0.28
22.96	10.44	-0.30
22.83	10.55	-0.31
22.63	10.52	-0.32
22.31	10.48	-0.32
21.92	10.55	-0.27
21.58	10.78	-0.15
21.43	11.08	0.01
21.46	11.33	0.13
21.54	11.48	0.14
21.49	11.53	-0.02
21.24	11.52	-0.26
20.86	11.49	-0.45
20.52	11.44	-0.53
20.31	11.42	-0.51
20.26	11.46	-0.47
20.29	11.58	-0.45
20.30	11.74	-0.42
20.22	11.91	-0.35
20.03	12.08	-0.22
19.80	12.32	-0.06
19.60	12.66	0.14
19.48	13.09	0.34
19.44	13.51	0.51
19.40	13.84	0.58
19.28	14.04	0.53
19.04	14.11	0.42
18.74	14.11	0.33
18.46	14.10	0.28
18.22	14.13	0.21
18.02	14.19	0.09
17.84	14.24	-0.05
17.68	14.28	-0.11
17.59	14.36	-0.05
17.61	14.56	0.09
17.71	14.89	0.22
17.80	15.27	0.30
17.80	15.59	0.33
17.64	15.80	0.36
17.30	15.91	0.39
16.84	15.97	0.39
16.36	16.02	0.32
15.96	16.08	0.21
15.69	16.18	0.11
15.54	16.34	0.07
15.44	16.54	0.11
15.35	16.71	0.17
15.28	16.84	0.22
15.24	16.98	0.25
15.23	17.18	0.27
15.22	17.45	0.30
15.12	17.70	0.31
14.89	17.83	0.27
14.52	17.80	0.19
14.11	17.65	0.13
13.72	17.50	0.12
13.42	17.46	0.18
13.22	17.57	0.27
13.13	17.82	0.33
13.18	18.14	0.31
13.34	18.43	0.19
13.56	18.67	-0.03
13.72	18.91	-0.28
13.73	19.20	-0.46
13.53	19.58	-0.48
13.19	20.00	-0.34
12.81	20.40	-0.14
12.51	20.66	0.00
12.33	20.74	-0.02
12.25	20.67	-0.14
12.18	20.55	-0.21
12.01	20.51	-0.12
11.70	20.65	0.10
11.27	20.97	0.29
10.81	21.39	0.29
10.47	21.79	0.10
10.33	22.10	-0.11
10.44	22.32	-0.16
10.70	22.51	-0.02
10.96	22.70	0.20
11.09	22.85	0.37
11.01	22.87	0.39
10.75	22.75	0.28
10.35	22.60	0.13
9.90	22.59	0.02
9.49	22.85	0.01
9.17	23.36	0.12
8.99	23.97	0.30
8.91	24.56	0.51
8.90	25.09	0.70
8.96	25.56	0.83
9.04	25.96	0.86
9.09	26.21	0.77
9.03	26.23	0.57
8.84	26.07	0.33
8.57	25.87	0.13
8.31	25.74	-0.01
8.10	25.70	-0.09
7.97	25.70	-0.11
7.88	25.68	-0.07
